Processes: 388 total, 4 running, 384 sleeping, 1497 threads 
2019/01/17 15:08:14
Load Avg: 2.87, 2.74, 2.66 
CPU usage: 42.14% user, 19.28% sys, 38.57% idle 
SharedLibs: 250M resident, 64M data, 69M linkedit.
MemRegions: 91607 total, 4912M resident, 202M private, 1082M shared.
PhysMem: 10G used (1556M wired), 1596M unused.
VM: 2565G vsize, 1113M framework vsize, 122878(0) swapins, 207342(0) swapouts.
Networks: packets: 4415501/4137M in, 2541678/316M out.
Disks: 3008177/501G read, 5218720/493G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID        FAULTS   COW     MSGSENT    MSGRECV   SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
66854  top              0.0  00:00.34 1/1   0   14+    2268K+ 0B     0B     66854 66642 running  *0[1+]       0.00000 0.00000    0          1323+    110+    219466+    109732+   1700+      112441+    41+        0       0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
66792  ocspd            0.0  00:00.02 2     1   30+    1608K+ 0B     0B     66792 1     sleeping *0[1+]       0.00000 0.00000    0          1990+    168+    110+       26+       777+       282+       63+        0       0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
66746  com.apple.WebKit 0.0  00:08.43 8     2   193+   106M+  268K+  0B     66746 1     sleeping *0[11388+]   0.00000 0.00000    2023764136 46966+   744+    50522+     22591+    104798+    273306+    75284+     6+      0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
66745  com.apple.WebKit 0.0  00:17.38 12    3   243+   190M+  15M+   0B     66745 1     sleeping *0[2662+]    0.00000 0.00000    2023764136 88333+   4734+   40172+     18590+    91569+     126063+    45598+     0       0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
66648  com.apple.WebKit 0.0  00:05.69 6     1   190+   53M+   15M+   0B     66648 1     sleeping *0[4393+]    0.00000 0.00000    2023764136 44514+   3926+   47295+     21029+    56402+     110017+    31806+     0       0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
66642  bash             0.0  00:00.07 1     0   19+    784K+  0B     0B     66642 66641 sleeping *0[1+]       0.00000 0.00000    2023764136 2174+    937+    124+       51+       8244+      195+       262+       0       0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
66641  login            0.0  00:00.02 2     1   30+    1132K+ 0B     0B     66641 1409  sleeping *0[9+]       0.00000 0.00000    0          1692+    210+    128+       30+       1406+      261+       91+        0       0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
66639  com.apple.WebKit 0.0  00:03.57 6     1   225+   68M+   164K+  0B     66639 1     sleeping *0[2962+]    0.00000 0.00000    2023764136 43533+   735+    19626+     6857+     48449+     53511+     20275+     0       0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
66633  quicklookd       0.0  00:00.05 4     1   75+    3460K+ 28K+   0B     66633 1     sleeping  0[0]        0.00000 0.00000    2023764136 4147+    247+    280+       81+       1433+      644+       237+       0       0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
66503  XprotectService  0.0  00:00.04 2     2   38+    2972K+ 0B     0B     66503 1     sleeping *0[1+]       0.00000 0.00000    2023764136 3626+    201+    164+       49+       666+       327+       198+       0       0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
